,RF Baseline,RF Baseline (strict),RF Contextual,LGBM Contextual,XGB Contextual
Accuracy,0.8852,0.8677,0.9049,0.9325,0.9334
Precision,0.8865,0.8689,0.9053,0.9328,0.9338
Recall,0.8849,0.8675,0.9048,0.9324,0.9333
F1-Score,0.885,0.8675,0.9049,0.9325,0.9334
