,LR Baseline,RF Baseline,RF Baseline (strict),LR Contextual,RF Contextual,LGBM Contextual,XGB Contextual
Accuracy,0.9035,0.9352,0.9103,0.9147,0.9334,0.9483,0.9558
Precision,0.8598,0.9282,0.8369,0.9205,0.9528,0.9488,0.9527
Recall,0.7803,0.8377,0.8665,0.7715,0.8139,0.8668,0.8897
F1-Score,0.8118,0.8744,0.8505,0.8213,0.864,0.9012,0.9174
